epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
89,5035.42,1.86111,1.97496,0.01691,0.45185,0.39182,0.35867,0.17046,1.59773,1.6002,0.01382,0.0008384,0.0008384,0.0008384
90,5091.23,1.89082,2.03002,0.01634,0.43567,0.38606,0.34925,0.16177,1.55624,1.61113,0.01276,0.0008252,0.0008252,0.0008252
91,5147.05,1.85823,1.98832,0.01637,0.43401,0.39468,0.35181,0.16094,1.57735,1.55363,0.01366,0.000812,0.000812,0.000812
92,5202.91,1.84506,1.97071,0.01625,0.44108,0.40329,0.35775,0.16388,1.62159,1.61501,0.01364,0.0007988,0.0007988,0.0007988
93,5258.79,1.85506,1.97143,0.0164,0.42758,0.42522,0.35332,0.16098,1.59823,1.63336,0.01422,0.0007856,0.0007856,0.0007856
94,5314.67,1.85487,2.00316,0.01619,0.45402,0.37666,0.35165,0.16322,1.59683,1.6229,0.01378,0.0007724,0.0007724,0.0007724
95,5370.42,1.82899,1.93593,0.01648,0.4621,0.36727,0.35386,0.17003,1.55492,1.60197,0.01375,0.0007592,0.0007592,0.0007592
96,5426.17,1.8399,1.97718,0.01662,0.43479,0.3798,0.33699,0.16471,1.56918,1.5915,0.01381,0.000746,0.000746,0.000746
97,5481.93,1.83529,1.96601,0.01622,0.45119,0.36805,0.34538,0.16944,1.53556,1.5609,0.01311,0.0007328,0.0007328,0.0007328
98,5537.62,1.82445,1.96571,0.01586,0.44416,0.38293,0.35181,0.16856,1.56145,1.56545,0.013,0.0007196,0.0007196,0.0007196
99,5593.39,1.85113,1.96209,0.01592,0.42811,0.37811,0.34673,0.16667,1.60024,1.59603,0.01392,0.0007064,0.0007064,0.0007064
100,5649.11,1.83778,1.9533,0.01645,0.42199,0.40251,0.36346,0.17596,1.53276,1.57108,0.01314,0.0006932,0.0006932,0.0006932
101,5705.12,1.84613,1.94827,0.01626,0.42591,0.40329,0.35828,0.16987,1.58579,1.57174,0.01371,0.00068,0.00068,0.00068
102,5760.88,1.84814,1.92751,0.0159,0.44597,0.38684,0.3508,0.16734,1.59328,1.53554,0.01353,0.0006668,0.0006668,0.0006668
103,5816.86,1.85371,1.96225,0.01597,0.44994,0.38919,0.35545,0.17792,1.55951,1.49039,0.01289,0.0006536,0.0006536,0.0006536
104,5874.8,1.81892,1.93892,0.01645,0.45124,0.40016,0.36244,0.17206,1.57069,1.57686,0.01328,0.0006404,0.0006404,0.0006404
105,5932.1,1.81111,1.89738,0.01587,0.42337,0.38763,0.3571,0.17371,1.55656,1.52778,0.01278,0.0006272,0.0006272,0.0006272
